CÓDIGO_Aluno,Class,Grade,level,Activities,Badges,In Class,Points,Speaking tasks,Speaking skill,Speaking total,Quizzes,Quizzes skill,Ratings,Feedbacks
aluno151,stc26,6º ano,A0,23,0,0,1591,11,0%,00:00:33,11,64%,4,6
aluno152,olympicstest1,,#N/D,19,1,0,1589,13,0%,00:03:05,6,69%,3,0
aluno153,dg23e,7º ano,A1,33,0,0,1541,12,0%,00:01:35,18,36%,6,6
aluno154,stc26,6º ano,A0,22,0,0,1534,13,0%,00:01:04,9,30%,5,3
aluno155,ouhzt,6º ano,A0,40,0,0,1498,0,0%,00:00:00,40,73%,4,0
aluno156,ygz43,7º ano,A0,22,3,0,1495,8,0%,00:00:15,14,52%,3,6
aluno157,eyk3i,8º ano,A2,22,1,0,1489,16,0%,00:05:36,6,63%,0,12
aluno158,p5bmm,8º ano,A0,24,0,0,1483,10,0%,00:00:33,14,67%,4,0
aluno159,eyk3i,8º ano,A2,20,3,0,1442,9,0%,00:00:50,10,53%,2,6
aluno160,zocoy,9º ano,A2,28,0,0,1425,12,0%,00:01:29,13,42%,5,8
aluno161,si8jo,#N/D,#N/D,32,0,0,1401,4,0%,00:00:10,25,55%,11,1
aluno162,icmob,8º ano,A0,26,2,0,1362,8,0%,00:01:05,18,61%,1,4
aluno163,2ziol,8º ano,A0,25,2,0,1361,7,0%,00:00:14,15,56%,4,5
aluno164,5aybh,7º ano,A0,23,0,0,1335,12,0%,00:01:26,11,66%,2,6
aluno165,dg23e,7º ano,A1,20,0,0,1331,13,0%,00:00:48,7,36%,3,10
aluno166,fztih,9º ano,A1,21,0,0,1321,11,0%,00:01:10,7,71%,2,7
aluno167,loprm,9º ano,A1,12,6,0,1297,4,0%,00:00:11,8,74%,0,2
aluno168,ymbb7,9º ano,A1,5,0,6,1295,3,0%,00:00:23,2,85%,6,1
aluno169,stc26,6º ano,A0,32,0,0,1285,12,0%,00:01:06,17,68%,1,6
aluno170,l8dt4,7º ano,A0,23,0,0,1240,12,0%,00:00:33,11,65%,3,4
aluno171,zocoy,9º ano,A2,14,3,0,1238,9,0%,00:00:51,5,55%,0,4
aluno172,_ny0606_default,#N/D,#N/D,13,1,0,1230,10,0%,00:00:54,3,67%,3,0
aluno173,5u3zk,7º ano,A0,16,1,4,1169,7,0%,00:01:06,9,37%,0,5
aluno174,5aybh,7º ano,A1,13,0,0,1143,9,0%,00:01:44,4,80%,4,2
aluno175,stc26,6º ano,A0,10,4,0,1131,7,0%,00:00:37,3,80%,1,6
aluno176,icmob,8º ano,A0,18,4,0,1128,4,0%,00:00:37,13,49%,1,3
aluno177,33xi9,#N/D,#N/D,27,4,0,1115,5,0%,00:00:14,22,20%,0,0
aluno178,fof6t,6º ano,A1,16,2,5,1094,4,0%,00:00:25,9,30%,1,2
aluno179,6ve7m,9º ano,A1,21,1,0,1092,4,0%,00:00:19,14,81%,2,3
aluno180,ouhzt,6º ano,A1,21,0,0,1077,5,0%,00:00:33,13,85%,2,3
aluno181,ymbb7,9º ano,A0,22,0,0,1077,9,0%,00:00:19,13,72%,0,6
aluno182,33xi9,#N/D,#N/D,13,0,0,1047,9,0%,00:00:35,4,53%,4,0
aluno183,6ve7m,9º ano,,17,1,0,1044,4,0%,00:00:18,10,80%,1,4
aluno184,_ny0606_default,#N/D,#N/D,17,1,0,1043,6,0%,00:00:16,11,55%,4,0
aluno185,ymbb7,9º ano,A0,6,0,6,1034,4,0%,00:00:11,2,92%,0,4
aluno186,6ve7m,9º ano,A1,15,0,0,1034,7,0%,00:00:23,8,73%,4,5
aluno187,zl74u,9º ano,A2,21,0,0,1018,7,0%,00:01:24,14,45%,0,7
aluno188,_ny0606_default,#N/D,#N/D,11,0,0,990,9,0%,00:00:39,2,75%,4,0
aluno189,ymbb7,9º ano,A1,19,0,0,986,6,0%,00:00:27,10,71%,3,1
aluno190,dzgln,7º ano,A0,19,5,0,944,0,0%,00:00:00,19,47%,0,0
aluno191,_ny0606_default,#N/D,#N/D,12,0,0,936,9,0%,00:00:36,3,24%,0,1
aluno192,ouhzt,6º ano,A0,16,0,0,924,4,0%,00:00:21,9,87%,3,2
aluno193,eyk3i,8º ano,A1,18,0,0,922,6,0%,00:00:19,12,59%,4,2
aluno194,5u3zk,7º ano,A0,13,0,4,921,4,0%,00:00:09,9,38%,5,0
aluno195,ymbb7,9º ano,A0,17,0,0,919,9,0%,00:00:39,8,77%,1,5
aluno196,dg23e,7º ano,A1,13,4,0,900,4,0%,00:00:09,8,25%,0,3
aluno197,udlfi,6º ano,A1,18,0,0,890,6,0%,00:00:32,9,40%,1,6
aluno198,ygz43,7º ano,A1,19,0,0,881,6,0%,00:00:28,10,54%,1,1
aluno199,dg23e,7º ano,A1,13,2,0,846,4,0%,00:00:17,8,59%,1,2
aluno200,fof6t,6º ano,A0,14,0,4,837,3,0%,00:00:14,11,69%,4,1
aluno201,qdqvo,6º ano,A1,11,0,0,837,9,0%,00:00:41,2,17%,2,1
aluno202,ymbb7,9º ano,A0,16,0,4,836,2,0%,00:00:07,14,72%,0,0
aluno203,ouhzt,6º ano,A0,17,0,0,829,6,0%,00:00:16,10,80%,3,2
aluno204,2ziol,8º ano,A1,12,0,0,818,7,0%,00:00:41,5,43%,1,6
aluno205,icmob,8º ano,A1,20,0,0,806,3,0%,00:00:16,14,68%,3,1
aluno206,ouhzt,6º ano,A0,16,2,0,806,4,0%,00:00:07,9,41%,2,3
aluno207,olympicstest1,,B1,11,0,0,794,5,0%,00:02:14,6,94%,1,4
aluno208,zocoy,9º ano,A2,12,0,0,779,5,0%,00:00:29,7,71%,3,2
aluno209,fsqaw,8º ano,A0,5,0,2,776,2,0%,00:00:03,3,76%,3,1
aluno210,qdqvo,6º ano,A1,18,0,0,769,5,0%,00:00:10,10,46%,4,4
aluno211,eyk3i,8º ano,A1,16,2,0,753,3,0%,00:00:12,10,49%,1,3
aluno212,ouhzt,6º ano,A0,13,1,0,747,2,0%,00:00:08,11,66%,4,1
aluno213,fof6t,6º ano,#N/D,20,0,4,736,0,0%,00:00:00,19,49%,2,0
aluno214,eyk3i,8º ano,A2,8,0,0,732,6,0%,00:01:34,2,92%,4,3
aluno215,ouhzt,6º ano,A0,15,2,0,727,3,0%,00:00:19,10,38%,1,3
aluno216,zocoy,9º ano,A2,12,2,0,727,0,0%,00:00:00,11,94%,1,0
aluno217,tj173,7º ano,A1,10,0,0,720,7,0%,00:00:30,3,50%,2,4
aluno218,udlfi,6º ano,A0,5,0,0,714,1,0%,00:00:03,4,82%,0,1
aluno219,9qp7p,6º ano,A2,5,0,3,692,4,0%,00:00:16,1,83%,5,0
aluno220,2ziol,8º ano,A1,17,0,0,687,2,0%,00:00:12,12,73%,5,1
aluno221,fof6t,6º ano,A1,6,2,3,686,2,0%,00:00:18,3,90%,0,2
aluno222,2ziol,8º ano,A1,12,2,0,686,3,0%,00:00:11,9,58%,0,2
aluno223,ouhzt,6º ano,A2,11,0,0,674,5,0%,00:01:57,5,69%,0,5
aluno224,icmob,8º ano,A1,15,0,0,664,2,0%,00:00:15,10,87%,3,0
aluno225,eyk3i,8º ano,A2,11,0,0,645,5,0%,00:00:21,6,61%,1,4
aluno226,33xi9,#N/D,#N/D,12,0,0,636,3,0%,00:00:08,9,72%,1,0
aluno227,eyk3i,8º ano,A2,16,0,0,633,4,0%,00:00:30,9,58%,2,2
aluno228,ymbb7,9º ano,A0,5,0,5,630,3,0%,00:00:07,2,35%,2,1
aluno229,ouhzt,6º ano,A1,14,1,0,615,3,0%,00:00:15,8,51%,1,2
aluno230,4uz8p,#N/D,#N/D,8,1,0,607,2,0%,00:00:12,6,77%,0,0
aluno231,olympicstest1,,B1,7,0,0,600,5,0%,00:01:20,2,100%,0,4
aluno232,ymbb7,9º ano,A0,4,1,6,600,0,0%,00:00:00,4,70%,1,0
aluno233,fof6t,6º ano,A1,5,0,3,592,3,0%,00:00:06,2,77%,0,3
aluno234,fof6t,6º ano,A0,16,1,3,591,0,0%,00:00:00,16,41%,1,0
aluno235,5u3zk,7º ano,A1,6,0,5,589,3,0%,00:00:11,3,26%,0,3
aluno236,ymbb7,9º ano,A1,5,0,2,567,2,0%,00:00:06,3,78%,0,1
aluno237,ymbb7,9º ano,A0,11,0,2,558,5,0%,00:00:12,6,53%,0,3
aluno238,fsqaw,8º ano,A1,14,0,2,549,0,0%,00:00:00,13,64%,3,0
aluno239,dzgln,7º ano,A0,13,0,0,540,1,0%,00:00:06,12,63%,1,0
aluno240,zocoy,9º ano,A2,8,1,0,538,3,0%,00:00:14,4,64%,1,2
aluno241,4uz8p,#N/D,#N/D,6,0,0,537,5,0%,00:00:52,1,83%,2,1
aluno242,ouhzt,6º ano,A0,15,0,0,537,2,0%,00:00:11,11,61%,0,1
aluno243,udlfi,6º ano,A1,7,2,0,515,2,0%,00:00:12,5,46%,0,1
aluno244,ymbb7,9º ano,A0,5,0,6,502,0,0%,00:00:00,5,57%,1,0
aluno245,s9jkh,7º ano,A2,11,0,0,502,2,0%,00:00:06,9,67%,0,2
aluno246,ymbb7,9º ano,A0,7,0,3,501,2,0%,00:00:03,5,60%,0,0
aluno247,fof6t,6º ano,A1,2,0,7,500,1,0%,00:00:06,1,100%,0,0
aluno248,5u3zk,7º ano,A1,10,0,0,494,3,0%,00:00:37,7,44%,4,1
aluno249,eyk3i,8º ano,A2,7,0,0,492,4,0%,00:00:19,3,88%,1,2
aluno250,zocoy,9º ano,A2,15,0,0,484,5,0%,00:00:20,7,78%,1,1
aluno251,tj173,7º ano,A1,14,0,0,480,2,0%,00:00:30,9,37%,1,2
aluno252,5u3zk,7º ano,A0,8,2,0,477,1,0%,00:00:03,7,43%,0,1
aluno253,33xi9,#N/D,#N/D,4,2,0,466,2,0%,00:00:04,2,67%,0,0
aluno254,fof6t,6º ano,A1,4,0,3,462,3,0%,00:00:10,1,83%,2,1
aluno255,2ziol,8º ano,A1,8,0,0,462,6,0%,00:00:14,2,42%,2,2
